"Id_aloj_1";"N_Individuo";"N_Pass";"Tipo_Passe";"Tipo_Passe_Dsg";"Passe_Tarifa";"Passe_Tarifa_Dsg";"Passe_Intermodal";"Passe_Intermodal_Dsg";"Passe_Operador1";"Passe_Operador1_Dsg";"Passe_Operador2";"Passe_Operador2_Dsg";"Passe_Operador3";"Passe_Operador3_Dsg"
"F1_18773";3;2;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18774";2;1;4;"Combido entre operadores";1;"Sem redução";;;36;"CP";46;"Metro do Porto";53;"STCP"
"F1_18774";1;1;4;"Combido entre operadores";1;"Sem redução";;;46;"Metro do Porto";53;"STCP";36;"CP"
"F1_18776";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18778";2;1;3;"Passes intermodais/sociais ";5;"Sénior";24;"Outro";;;;;;
"F1_18778";3;1;3;"Passes intermodais/sociais ";5;"Sénior";14;"Andante - Z3";;;;;;
"F1_18779";2;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18779";1;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18780";2;1;3;"Passes intermodais/sociais ";6;"Pensionistas e reformados";24;"Outro";;;;;;
"F1_18782";2;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18782";4;1;1;"Rede de um operador";3;"4_18";;;46;"Metro do Porto";;;;
"F1_18782";3;1;1;"Rede de um operador";3;"4_18";;;46;"Metro do Porto";;;;
"F1_18785";1;1;4;"Combido entre operadores";1;"Sem redução";;;36;"CP";53;"STCP";46;"Metro do Porto"
"F1_18788";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18790";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18794";1;1;2;"Linha de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18796";1;1;2;"Linha de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_18797";2;1;4;"Combido entre operadores";9;"Outro";;;53;"STCP";37;"ETG / Gondomarense";46;"Metro do Porto"
"F1_18797";3;1;4;"Combido entre operadores";9;"Outro";;;46;"Metro do Porto";37;"ETG / Gondomarense";53;"STCP"
"F1_18797";4;1;4;"Combido entre operadores";9;"Outro";;;53;"STCP";46;"Metro do Porto";;
"F1_18798";2;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18801";1;1;3;"Passes intermodais/sociais ";4;"Sub23";15;"Andante - Z4";;;;;;
"F1_18802";1;1;4;"Combido entre operadores";6;"Pensionistas e reformados";;;53;"STCP";36;"CP";;
"F1_18803";2;1;3;"Passes intermodais/sociais ";1;"Sem redução";15;"Andante - Z4";;;;;;
"F1_18805";2;1;3;"Passes intermodais/sociais ";4;"Sub23";16;"Andante - Z5";;;;;;
"F1_18808";2;1;1;"Rede de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_18808";2;2;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18810";1;1;1;"Rede de um operador";5;"Sénior";;;53;"STCP";;;;
"F1_18813";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18815";1;1;3;"Passes intermodais/sociais ";2;"Gratuito";24;"Outro";;;;;;
"F1_18815";2;1;3;"Passes intermodais/sociais ";2;"Gratuito";24;"Outro";;;;;;
"F1_18816";1;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18816";3;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18816";2;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18817";1;1;1;"Rede de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18817";1;2;1;"Rede de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18817";2;1;1;"Rede de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18819";3;1;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18823";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";15;"Andante - Z4";;;;;;
"F1_18823";4;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18829";2;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18830";3;1;4;"Combido entre operadores";4;"Sub23";;;53;"STCP";46;"Metro do Porto";;
"F1_18833";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";15;"Andante - Z4";;;;;;
"F1_18834";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18836";2;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18842";1;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18843";2;1;1;"Rede de um operador";8;"Social +";;;53;"STCP";;;;
"F1_18848";1;1;3;"Passes intermodais/sociais ";2;"Gratuito";17;"Andante - Z6";;;;;;
"F1_18849";1;1;1;"Rede de um operador";2;"Gratuito";;;46;"Metro do Porto";;;;
"F1_18851";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18854";2;1;1;"Rede de um operador";5;"Sénior";;;53;"STCP";;;;
"F1_18855";2;1;4;"Combido entre operadores";4;"Sub23";;;37;"ETG / Gondomarense";53;"STCP";50;"Resende"
"F1_18855";3;1;4;"Combido entre operadores";3;"4_18";;;37;"ETG / Gondomarense";53;"STCP";;
"F1_18857";3;1;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_18860";1;1;3;"Passes intermodais/sociais ";8;"Social +";14;"Andante - Z3";;;;;;
"F1_18861";2;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18862";1;1;3;"Passes intermodais/sociais ";6;"Pensionistas e reformados";14;"Andante - Z3";;;;;;
"F1_18863";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18863";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18864";3;1;2;"Linha de um operador";3;"4_18";;;46;"Metro do Porto";;;;
"F1_18864";3;2;4;"Combido entre operadores";3;"4_18";;;46;"Metro do Porto";37;"ETG / Gondomarense";47;"MGC (Moreira Gomes & Costas)"
"F1_18866";1;1;2;"Linha de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18866";3;1;1;"Rede de um operador";3;"4_18";;;53;"STCP";;;;
"F1_18866";4;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18866";1;2;2;"Linha de um operador";4;"Sub23";;;36;"CP";;;;
"F1_18867";2;1;1;"Rede de um operador";3;"4_18";;;53;"STCP";;;;
"F1_18868";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18869";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18870";2;1;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18870";3;1;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18871";2;1;4;"Combido entre operadores";1;"Sem redução";;;53;"STCP";46;"Metro do Porto";;
"F1_18872";3;1;3;"Passes intermodais/sociais ";3;"4_18";13;"Andante - Z2";;;;;;
